time,s_right,s_left
0.00,0.000000,0.000000
0.01,0.000028,0.000028
0.02,0.000112,0.000112
0.03,0.000252,0.000252
0.04,0.000448,0.000448
0.05,0.000700,0.000700
0.06,0.001008,0.001008
0.07,0.001372,0.001372
0.08,0.001792,0.001792
0.09,0.002268,0.002268
0.10,0.002800,0.002800
0.11,0.003388,0.003388
0.12,0.004032,0.004032
0.13,0.004732,0.004732
0.14,0.005488,0.005488
0.15,0.006300,0.006300
0.16,0.007168,0.007168
0.17,0.008092,0.008092
0.18,0.009072,0.009072
0.19,0.010108,0.010108
0.20,0.011200,0.011200
0.21,0.012348,0.012348
0.22,0.013552,0.013552
0.23,0.014812,0.014812
0.24,0.016128,0.016128
0.25,0.017500,0.017500
0.26,0.018928,0.018928
0.27,0.020412,0.020412
0.28,0.021952,0.021952
0.29,0.023548,0.023548
0.30,0.025200,0.025200
0.31,0.026908,0.026908
0.32,0.028672,0.028672
0.33,0.030492,0.030492
0.34,0.032368,0.032368
0.35,0.034300,0.034300
0.36,0.036288,0.036288
0.37,0.038332,0.038332
0.38,0.040432,0.040432
0.39,0.042588,0.042588
0.40,0.044800,0.044800
0.41,0.047068,0.047068
0.42,0.049392,0.049392
0.43,0.051772,0.051772
0.44,0.054208,0.054208
0.45,0.056700,0.056700
0.46,0.059248,0.059248
0.47,0.061852,0.061852
0.48,0.064512,0.064512
0.49,0.067228,0.067228
0.50,0.070000,0.070000
0.51,0.072828,0.072828
0.52,0.075712,0.075712
0.53,0.078652,0.078652
0.54,0.081648,0.081648
0.55,0.084700,0.084700
0.56,0.087808,0.087808
0.57,0.090972,0.090972
0.58,0.094192,0.094192
0.59,0.097468,0.097468
0.60,0.100800,0.100800
0.61,0.104188,0.104188
0.62,0.107632,0.107632
0.63,0.111132,0.111132
0.64,0.114688,0.114688
0.65,0.118300,0.118300
0.66,0.121968,0.121968
0.67,0.125692,0.125692
0.68,0.129472,0.129472
0.69,0.133308,0.133308
0.70,0.137200,0.137200
0.71,0.141148,0.141148
0.72,0.145152,0.145152
0.73,0.149212,0.149212
0.74,0.153328,0.153328
0.75,0.157500,0.157500
0.76,0.161728,0.161728
0.77,0.166012,0.166012
0.78,0.170352,0.170352
0.79,0.174748,0.174748
0.80,0.179200,0.179200
0.81,0.183708,0.183708
0.82,0.188272,0.188272
0.83,0.192892,0.192892
0.84,0.197568,0.197568
0.85,0.202300,0.202300
0.86,0.207088,0.207088
0.87,0.211932,0.211932
0.88,0.216832,0.216832
0.89,0.221788,0.221788
0.90,0.226800,0.226800
0.91,0.231868,0.231868
0.92,0.236992,0.236992
0.93,0.242172,0.242172
0.94,0.247408,0.247408
0.95,0.252700,0.252700
0.96,0.258048,0.258048
0.97,0.263452,0.263452
0.98,0.268912,0.268912
0.99,0.274428,0.274428
1.00,0.280000,0.280000
1.01,0.285628,0.285628
1.02,0.291312,0.291312
1.03,0.297052,0.297052
1.04,0.302848,0.302848
1.05,0.308700,0.308700
1.06,0.314608,0.314608
1.07,0.320572,0.320572
1.08,0.326592,0.326592
1.09,0.332668,0.332668
1.10,0.338800,0.338800
1.11,0.344988,0.344988
1.12,0.351232,0.351232
1.13,0.357532,0.357532
1.14,0.363888,0.363888
1.15,0.370300,0.370300
1.16,0.376768,0.376768
1.17,0.383292,0.383292
1.18,0.389872,0.389872
1.19,0.396508,0.396508
1.20,0.403200,0.403200
1.21,0.409948,0.409948
1.22,0.416752,0.416752
1.23,0.423612,0.423612
1.24,0.430528,0.430528
1.25,0.437500,0.437500
1.26,0.444528,0.444528
1.27,0.451612,0.451612
1.28,0.458752,0.458752
1.29,0.465948,0.465948
1.30,0.473200,0.473200
1.31,0.480508,0.480508
1.32,0.487872,0.487872
1.33,0.495292,0.495292
